query_index,query_id,query_org,query_risk_score,query_description,similar_incident_id,similar_org,similar_risk_score,similarity,similar_description
41,73,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",73,"ТОО ""Жасмин Люкс""",2.166666666666667,0.640264,"Трубопроводчик линейный Аварийно-восстановительного пункта Атырауского нефтепроводного управления, при выполнении работ по зачистке стенда под покраску для конкурса «Лучший по профессии» получил травму правого глаза."
41,41,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",41,"ТОО ""Белая Магнолия""",,0.627889,"02.05.2025 года, примерно в 07 часов 12 минут, на участке автодороги между п. Доссор и г. Кульсары произошло дорожно-транспортное происшествие с участием автобуса марки Toyota Coaster, принадлежащего подрядной организации ТОО «NUR-TILEK TRANSSERVICE». Во время перевозки двух работников ТОО «KMG EP-Catering» из города Атырау автобус столкнулся с дорожной строительной техникой марки МТЗ-80, находившейся на правой стороне дороги. Пострадавших нет. В настоящее время устанавливаются причины и обстоятельства произошедшего. Проводится расследование."
41,43,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",43,"ТОО ""Floraison KZ""",2.5,0.565912,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы)."
41,83,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",83,"ТОО ""Роза Ветров KZ""",2.5,0.552512,"26.03.2025 года, на трассе Атырау – Доссор на 31 км., при повороте на автодорогу ИГХК (в сторону завода KPI) произошло ДТП, с участием автобуса TOYOTA COASTER подрядной организации ТОО «ОмарАвто» и стороннего автотранспорта Лада «Vesta», В результате ДТП в автомобиле Lada Vesta погибли 3 человека, ещё 2 пассажира получили различные травмы и были госпитализированы. Кроме того, 3 работника подрядных организаций и 6 сотрудников ТОО «KPI Inc.» направлены на медицинский осмотр."
41,123,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",123,"ТОО ""Весенний Букет""",,0.52816,"Инцидент Жаңаөзен-Қарамандыбас бағытымен келе жатқан КамАЗ-43118 маркалы, мемлекеттік белгісі 594 АВ 12 арнайы техникасының №3 МГӨК-ке бұрылу кезінде жекеменшік Киа м/б 37 RD 797 (ARM) жеңіл көлігімен соқтығысу болған. Соқтығысу арнайы техниканың артқы дөңгелегі мен жеңіл көліктің бампері арасында орын алды."
41,82,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",82,"ТОО ""Camellia Trade""",,0.520927,"Оператор 3 разряда, после завершения работы по смене троса станка качалки, при спуске по лестнице рабочей площадки, споткнувшись упал на землю и при падении получил травму левой руки."
41,77,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",77,"ТОО ""Весенний Букет""",2.090909090909091,0.490691,"Оператор при подготовке к ремонту станка-качалки скважины № 6038, при отсоединении троса от траверсы, поскользнулся и упал, в результате чего получил травму правой ноги."
41,190,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",190,"ТОО ""Белая Магнолия""",,0.487899,"9 июня 2025 года примерно в 06:20 на перекрёстке проспектов К. Сатпаева и И. Тайманова в городе Атырау произошло дорожно-транспортное происшествие с участием автобуса марки Hyundai Universe, принадлежащего ТОО «NUR-TILEK TRANSSERVICE». В ходе поворота со второй полосы автобус столкнулся с микроавтобусом Toyota Hiace, выполнявшим поворот с первой полосы. В результате ДТП пострадавших нет."
41,215,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",215,"ТОО ""Весенний Букет""",2.0476190476190474,0.483916,"26.01.2026 жылы сағат 18:30 шамасында Қоғамға қарасты №4 МГӨБ-ның №4 Қабат қысымын сақтау цехының бастық орынбасары М.Байтуров өзіне бөлінген «МұнайСпецСнабКомпани» ЖШС-ның маркасы Mitsubishi L-200 мемлекеттік нөмері 788 AER12 қызметтік көлігімен №4 МГӨЦ-ның қасындағы «Өзен – Қарамандыбас» тас жолында маркасы SHACMAN мемлекеттік нөмері 041MBZ12 жекеменшік соқтығысып, жол көлік оқиғасы орын алады. Дереу жолда келе жатқан басқа автокөліктер тоқтап, жедел жәрдем шақырады. «Жалымбетов» ЖШС-нің жедел - жәрдем келгенге дейін оқиға орнындағы адамдар М.Байтуровты және Н.Қамаловты көліктен шығарған. Оқиға орнына келген жедел - жәрдем М.Байтуровты жағдайы ауыр болуына байланысты, бірінші кезекте көмек көрсетіп, Жаңаөзен қаласының көпбейінді ауруханасына жеткізген. Нәтижесінде М.Байтуров Жаңаөзен қаласының көпбейінді ауруханасының қабылдау бөлімінде қайтыс болады."
41,94,"ТОО ""Floraison KZ""",2.5,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",94,"ТОО ""Гүл Әлемі""",,0.470372,"Кубейсинов Тойлыбек Джолдыбаевич
слесарь по ремонту автомобилей (занятый ремонтом верхнего оборудования) 3 разряда
12.10.1975"
42,82,"ТОО ""Floraison KZ""",2.5,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",82,"ТОО ""Camellia Trade""",,0.660362,"Оператор 3 разряда, после завершения работы по смене троса станка качалки, при спуске по лестнице рабочей площадки, споткнувшись упал на землю и при падении получил травму левой руки."
42,223,"ТОО ""Floraison KZ""",2.5,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",223,"ТОО ""Алма Гүл""",1.0909090909090908,0.618677,"На участке месторождения «Юго-Восточное Камышитовое» (НГДУ «Жайыкмунайгаз») около 11:20 час. старший инженер Атырауского филиала ТОО «КМГ Инжиниринг» Кадрешов Б. (30.06.1991г.), при подъеме по лестнице на печь подогрева ПТ-16/150, поскользнулся и упал. 
После проишествия уехали в город и обратились в городской травмпункт, где выявили травму."
42,77,"ТОО ""Floraison KZ""",2.5,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",77,"ТОО ""Весенний Букет""",2.090909090909091,0.585037,"Оператор при подготовке к ремонту станка-качалки скважины № 6038, при отсоединении троса от траверсы, поскользнулся и упал, в результате чего получил травму правой ноги."
42,42,"ТОО ""Floraison KZ""",2.5,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",42,"ТОО ""Floraison KZ""",2.5,0.565912,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки)."
42,79,"ТОО ""Floraison KZ""",2.5,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",79,"ТОО ""Весенний Букет""",,0.564845,"Во время подготовки скважины №1612 к текущему ремонту, оператор ДНГ при самовольном подъёме на пирамиду станка-качалки для откидывания головки балансира поскользнувшись упал на землю."
42,76,"ТОО ""Floraison KZ""",2.5,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",76,"ТОО ""Весенний Букет""",2.5,0.549336,Во время осуществления погрузки подземного оборудования (штанги на полуприцеп авто-транспортного средства) стропальщик упал с площадки полуприцепа на землю.
42,166,"ТОО ""Floraison KZ""",2.5,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",166,"ТОО ""Весенний Букет""",,0.523379,"Балмухаммедов Джумабек Каржаувич
Бұрғылау жұмыстары басқармасына қарасты
скважинаны күрделі және жер асты жөндеу цехына қарасты 5 дәрежелі скважинаны
күрделі жөндеу бұрғышысы
25.04.1976"
42,130,"ТОО ""Floraison KZ""",2.5,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",130,"ТОО ""Весенний Букет""",2.090909090909091,0.521115,"04.04.2025 жылы сағат 11:45 шамасында «Өзенмұнайгаз» АҚ-на қарасты Бұрғылау жұмыстары басқармасының Скважиналарды күрделі және жерасты жөндеу цехының №20 жерасты жөндеу бригадасының 5-ші дәрежелі жерасты жөндеу операторы С.Кванышбеков  №3 Мұнай және газ өндіру басқармасының №62 топтық қондырғысына қарасты №8312 скважинасының сораптық шыбығын қолмен бұрап жатқан кезінде, жоғарыда тұрған шыбықтық қармақтан шыбық элеваторы шығып кетіп, төмен қарай сырғып С.Кванышбековтың оң қолына түсіп, жарақат алады. Дереу бригада шебері К.Калиев жедел жәрдем шақыртады. «Жалымбетов медициналық орталығы» ЖШС-нің жедел жәрдемі келіп, алғашқы медициналық көмек көрсетілгеннен соң, әрі қарай С.Кванышбековты Жанаөзен қалалық көпбейінді ауруханасына жеткізеді."
42,75,"ТОО ""Floraison KZ""",2.5,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",75,"ТОО ""Весенний Букет""",2.5,0.514295,"Слесарь-ремонтник проводил подготовку к сварочным работам резервного трубопровода (Ø530х12мм) между кормассами №8 и №11 на территории НГДУ-1. Во время осмотра трубопровода в траншее произошло обрушение грунта, в результате чего слесарь-ремонтник получил травму левой ноги."
