organization,observation_type,observation_category,signal_text,incident_in_next_14d,event_time
"ТОО ""Рассветная Лаванда""",unsafe_condition,Вождение,"Тип наблюдения: Небезопасное условие | Категория: Вождение | Организация: ТОО ""Рассветная Лаванда"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",0,2025-04-16 15:30:00
"ТОО ""Белая Роза""",unsafe_condition,Вождение,"Тип наблюдения: Небезопасное условие | Категория: Вождение | Организация: ТОО ""Белая Роза"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",0,2025-05-26 14:42:00
"ТОО ""Рассветная Лаванда""",unsafe_condition,Вождение,"Тип наблюдения: Небезопасное условие | Категория: Вождение | Организация: ТОО ""Рассветная Лаванда"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",0,2025-05-26 14:42:00
"ТОО ""Лесной Ландыш""",unsafe_condition,Вождение,"Тип наблюдения: Небезопасное условие | Категория: Вождение | Организация: ТОО ""Лесной Ландыш"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",0,2025-05-26 14:56:00
"ТОО ""Синяя Орхидея""",good_practice,Вождение,"Тип наблюдения: Хорошая практика | Категория: Вождение | Организация: ТОО ""Синяя Орхидея"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",0,2025-05-26 20:05:00
"ТОО ""Белая Роза""",unsafe_condition,Вождение,"Тип наблюдения: Небезопасное условие | Категория: Вождение | Организация: ТОО ""Белая Роза"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",0,2025-05-26 20:16:00
"ТОО ""Лесной Ландыш""",unsafe_condition,Вождение,"Тип наблюдения: Небезопасное условие | Категория: Вождение | Организация: ТОО ""Лесной Ландыш"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",0,2025-05-26 21:47:00
"ТОО ""Жемчужная Фрезия""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Жемчужная Фрезия"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-05-27 15:09:00
"ТОО ""Лазурный Дельфиниум""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Лазурный Дельфиниум"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-05-27 15:09:00
"ТОО ""Медовая Астра""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Медовая Астра"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-05-27 15:09:00
"ТОО ""Розовый Флокс""",good_practice,Наряд-допуск / Оценка риска,"Тип наблюдения: Хорошая практика | Категория: Наряд-допуск / Оценка риска | Организация: ТОО ""Розовый Флокс"" | Последствия или преимущества: Провел наблюдение. Предложении нет | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",0,2025-05-27 15:09:00
