event_time,organization,observation_type,observation_category,signal_text,incident_in_next_14d
2025-05-15 16:01:00,"ТОО ""Весенний Букет""",unsafe_condition,"Электрооборудование, Рабочее место / Эргономика","Тип наблюдения: Небезопасное условие | Категория: Электрооборудование, Рабочее место / Эргономика | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: жарық шамдарын орнату қажет/ жарықтандыру керек | Меры: Шеберге хабарланды | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Шеберге хабарланды | Опасность устранена: True",1
2025-05-22 15:30:00,"ТОО ""Весенний Букет""",unsafe_condition,"Целостность объекта / Оборудования, Выполнение требований инструкций","Тип наблюдения: Небезопасное условие | Категория: Целостность объекта / Оборудования, Выполнение требований инструкций | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: отсутствует заземление FT1413 | Меры: сообщила нач участка | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Исимбаев К.Б. | Опасность устранена: True",1
2025-05-26 03:10:00,"ТОО ""Весенний Букет""",good_practice,"Вождение, Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Вождение, Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Провёл наблюдение предложение нет | Меры: .... | Остановка работ: False | Поощрение хорошей практики: ..... | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальнику участка | Опасность устранена: False",1
2025-05-26 14:42:00,"ТОО ""Весенний Букет""",unsafe_condition,Вождение,"Тип наблюдения: Небезопасное условие | Категория: Вождение | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Нет данных | Меры: Нет данных | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: Нет данных | Опасность устранена: False",1
2025-05-26 19:27:00,"ТОО ""Весенний Букет""",good_practice,"Вождение, Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Вождение, Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Провел наблюдение, предложение нет | Меры: Сообшил начальнику | Остановка работ: False | Поощрение хорошей практики: . | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальнику участка | Опасность устранена: False",1
2025-05-27 20:30:00,"ТОО ""Весенний Букет""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,"Тип наблюдения: Небезопасное поведение | Категория: СИЗ / Средства по обеспечению безопасности | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Работа без СИЗ защиты глаз | Меры: Провел беседу с работником | Остановка работ: False | Поощрение хорошей практики: Провел разъяснительную работу с работниками по ползованию СИЗ инструкции ОТБ -012 | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальнику участка ЭН и С | Опасность устранена: True",1
2025-06-23 16:10:00,"ТОО ""Весенний Букет""",other,Рабочее место / Эргономика,"Тип наблюдения: Предложение (инициатива) | Категория: Рабочее место / Эргономика | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: ремонт кажет постка | Меры: начальникке айтылды | Остановка работ: False | Поощрение хорошей практики: - | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: начальникке айтылды | Опасность устранена: False",1
2025-06-26 15:26:00,"ТОО ""Весенний Букет""",unsafe_condition,Трубопроводы / Подземные коммуникации,"Тип наблюдения: Небезопасное условие | Категория: Трубопроводы / Подземные коммуникации | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: По всему периметру объекта закрыть сетчатые ворота наглухо так как это стратегический объект | Меры: Сообщил руководству ГНПС Павлодар | Остановка работ: False | Поощрение хорошей практики: Сообщил руководству KMG-Security | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Руководству ГНПС Павлодар | Опасность устранена: False",1
2025-06-28 15:33:00,"ТОО ""Весенний Букет""",unsafe_behavior,Рабочее место / Эргономика,"Тип наблюдения: Небезопасное поведение | Категория: Рабочее место / Эргономика | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Гараж-1 аймағындағы №4-ші авто-тізбекке қарасты автотұраққа тазалық жұмысын жүргізу керек. | Меры: №4-ші авто-тізбекке қарасты автотұраққа тазалау жұмыстарын жүргізу. | Остановка работ: False | Поощрение хорошей практики: Нет данных | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: №4-ші авто-тізбек аға механигіне телефон арқылы хабарланды тел: 87710085214 | Опасность устранена: True",1
2025-06-29 09:19:00,"ТОО ""Весенний Букет""",unsafe_action,Машины и оборудование,"Тип наблюдения: Небезопасное действие | Категория: Машины и оборудование | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: КПП да турып аныкталды автоколиктин сол жак фары жанбай калган | Меры: Ескерту жасалды | Остановка работ: False | Поощрение хорошей практики: Жаксы тажирбие автоколик жургизушисине фарды жагып журу туралы ескертилди | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Супервайзерге | Опасность устранена: True",1
2025-07-02 19:14:00,"ТОО ""Весенний Букет""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска","Тип наблюдения: Хорошая практика | Категория: Целостность объекта / Оборудования, Наряд-допуск / Оценка риска | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Провел наблюдения. Предложении нету | Меры: Доложил начальнику участка | Остановка работ: False | Поощрение хорошей практики: Доложил начальнику участка | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Доложил начальнику участка | Опасность устранена: True",1
2025-07-05 21:45:00,"ТОО ""Весенний Букет""",unsafe_action,Машины и оборудование,"Тип наблюдения: Небезопасное действие | Категория: Машины и оборудование | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: 4 КПП да кызмет аткару кезинде аныкталды.Автоколиктин фарын жакпай келген | Меры: Ескерту жасалды | Остановка работ: False | Поощрение хорошей практики: Жаксы тажирбие автоколик жургизушиси фарын жакпай келген | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Супервайзерге | Опасность устранена: True",1
2025-07-09 14:23:00,"ТОО ""Весенний Букет""",unsafe_action,"Проскальзывание / Спотыкание / Падение, Выполнение требований инструкций","Тип наблюдения: Небезопасное действие | Категория: Проскальзывание / Спотыкание / Падение, Выполнение требований инструкций | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Автокөліктің дөңгелегіне тіреуіш қойылмаған | Меры: Жұмыскерлерге ескертілді | Остановка работ: False | Поощрение хорошей практики: Бөлімше шеберіне | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Бөлімше шеберіне | Опасность устранена: True",1
2025-07-11 20:09:00,"ТОО ""Весенний Букет""",unsafe_condition,Электрооборудование,"Тип наблюдения: Небезопасное условие | Категория: Электрооборудование | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: Күзет бекетінде орналасқан розеткалардың біреуі жұмыс істемейді. | Меры: Аталған жағдай бойынша тиісті шаралар қабылдау үшін Жұмағалиев атындағы БМАС-тың бас энергетигіне хабар берілді. | Остановка работ: False | Поощрение хорошей практики: . | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Жұмағалиев атындағы БМАС-тың бас энергетигіне хабар берілді. | Опасность устранена: True",1
2025-07-14 21:50:00,"ТОО ""Весенний Букет""",unsafe_condition,"Охрана окружающей среды, Поддержание чистоты и порядка","Тип наблюдения: Небезопасное условие | Категория: Охрана окружающей среды, Поддержание чистоты и порядка | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: МГӨБ-4 №1 бригадасы ТҚ-85, ұңғы-5230. Қабылдау шанасының айналасына топырақ үйіндісі жасалмаған. | Меры: Бригада шеберіне ұйғарымдама толтырылды | Остановка работ: False | Поощрение хорошей практики: Тиісті қызметкерге хабарланды | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СКжЖАЖЦ бастығына | Опасность устранена: False",1
2025-07-15 21:00:00,"ТОО ""Весенний Букет""",good_practice,Поддержание чистоты и порядка,"Тип наблюдения: Хорошая практика | Категория: Поддержание чистоты и порядка | Организация: ТОО ""Весенний Букет"" | Последствия или преимущества: «POWERCON» ЖШС ТО-2 аумағында әр түрлі қалдықтар тасталған. | Меры: Жоқ | Остановка работ: False | Поощрение хорошей практики: Жоқ | Обсудили с наблюдаемым: False | Сообщили ответственному: True | Кому сообщили: Шеберге ескертілді | Опасность устранена: True",1
